Autot;Kulunut aika (s);Valtatiellä;Matkalla valtatielle;Matkalla valtatieltä;Matkalla laturille;Matkalla laturilta;Latautumassa;Odottamassa;Valtatiellä (mediaani);Matkalla valtatielle (mediaani);Matkalla valtatieltä (mediaani);Matkalla laturille (mediaani);Matkalla laturilta (mediaani);Latautumassa (mediaani);Odottamassa (mediaani);
109.0;157138.0;75.31957186544342;75.31957186544342;75.31957186544342;75.31957186544342;75.31957186544342;75.31957186544342;75.31957186544342;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
119.0;154598.0;74.7921568627451;74.7921568627451;74.7921568627451;74.7921568627451;74.7921568627451;74.7921568627451;74.7921568627451;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
129.0;173852.0;80.62299741602067;80.62299741602067;80.62299741602067;80.62299741602067;80.62299741602067;80.62299741602067;80.62299741602067;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
139.0;125500.0;80.94052757793764;80.94052757793764;80.94052757793764;80.94052757793764;80.94052757793764;80.94052757793764;80.94052757793764;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
149.0;179812.0;79.48814317673377;79.48814317673377;79.48814317673377;79.48814317673377;79.48814317673377;79.48814317673377;79.48814317673377;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
159.0;143950.0;76.1287211740042;76.1287211740042;76.1287211740042;76.1287211740042;76.1287211740042;76.1287211740042;76.1287211740042;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
169.0;146480.0;77.24418145956608;77.24418145956608;77.24418145956608;77.24418145956608;77.24418145956608;77.24418145956608;77.24418145956608;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
179.0;175836.0;76.87467411545624;76.87467411545624;76.87467411545624;76.87467411545624;76.87467411545624;76.87467411545624;76.87467411545624;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
189.0;152888.0;79.35961199294533;79.35961199294533;79.35961199294533;79.35961199294533;79.35961199294533;79.35961199294533;79.35961199294533;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;
199.0;161262.0;81.25979899497489;81.25979899497489;81.25979899497489;81.25979899497489;81.25979899497489;81.25979899497489;81.25979899497489;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
209.0;151326.0;77.06778309409887;77.06778309409887;77.06778309409887;77.06778309409887;77.06778309409887;77.06778309409887;77.06778309409887;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
219.0;178184.0;78.20441400304415;78.20441400304415;78.20441400304415;78.20441400304415;78.20441400304415;78.20441400304415;78.20441400304415;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
229.0;214914.0;75.75924308588064;75.75924308588064;75.75924308588064;75.75924308588064;75.75924308588064;75.75924308588064;75.75924308588064;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
239.0;190598.0;80.3071129707113;80.3071129707113;80.3071129707113;80.3071129707113;80.3071129707113;80.3071129707113;80.3071129707113;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
249.0;193906.0;80.29638554216868;80.29638554216868;80.29638554216868;80.29638554216868;80.29638554216868;80.29638554216868;80.29638554216868;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
259.0;168946.0;76.05688545688545;76.05688545688545;76.05688545688545;76.05688545688545;76.05688545688545;76.05688545688545;76.05688545688545;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
269.0;180068.0;78.55873605947956;78.55873605947956;78.55873605947956;78.55873605947956;78.55873605947956;78.55873605947956;78.55873605947956;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
